Date,ZC=F,ZW=F,ZS=F
2024-05-15,470.541,609.4357,1179.7267
2024-05-16,470.6604,610.3818,1179.2182
2024-05-17,470.9393,610.2613,1179.1969
2024-05-20,471.3377,610.1249,1179.5222
2024-05-21,471.3526,610.4677,1178.9142
2024-05-22,471.62,611.3127,1178.6667
2024-05-23,471.8854,612.101,1178.9061
2024-05-24,471.5885,612.091,1178.437
2024-05-27,472.1775,612.4067,1177.973
2024-05-28,472.6315,612.6742,1177.7584
2024-05-29,472.6916,613.1076,1177.1986
2024-05-30,472.8951,613.4185,1177.8439
2024-05-31,473.3131,613.1995,1177.5272
2024-06-03,473.4836,612.8392,1178.2609
2024-06-04,473.6577,613.1082,1179.0853
2024-06-05,473.4419,612.7767,1178.6392
2024-06-06,473.8659,613.563,1178.9302
2024-06-07,474.1491,613.7642,1178.9079
2024-06-10,474.4775,613.4933,1178.4893
2024-06-11,474.2264,613.5292,1178.5468
2024-06-12,474.9887,613.48,1178.6567
2024-06-13,475.2685,613.5927,1179.3321
2024-06-14,475.3714,614.1756,1180.1918
2024-06-17,476.2436,613.703,1179.7772
2024-06-18,476.4481,613.0403,1179.7735
2024-06-19,476.1987,613.3438,1180.3254
2024-06-20,476.2795,613.4163,1181.2603
2024-06-21,475.7534,613.6343,1180.0259
2024-06-24,476.2908,613.9715,1181.0123
2024-06-25,476.3544,614.0287,1181.1288
2024-06-26,476.3088,614.5126,1182.2577
2024-06-27,476.8392,614.2468,1182.2114
2024-06-28,476.4929,614.3972,1181.9163
2024-07-01,476.8411,614.1486,1182.1401
2024-07-02,476.3521,613.7631,1183.0317
2024-07-03,476.3065,614.1401,1183.2363
2024-07-04,476.0819,614.4912,1182.0059
2024-07-05,476.7048,613.7319,1182.5906
2024-07-08,477.4195,613.3276,1181.7964
2024-07-09,477.4577,613.5398,1181.3743
2024-07-10,477.8646,614.0885,1180.8365
2024-07-11,477.9388,613.8674,1179.8877
2024-07-12,478.2465,613.8523,1179.2833
2024-07-15,478.1253,613.2902,1178.8316
2024-07-16,477.6923,614.4486,1178.5985
2024-07-17,477.2227,614.7051,1178.6939
2024-07-18,477.4464,615.1398,1178.6147
2024-07-19,478.2605,615.4642,1177.8413
2024-07-22,478.4352,615.9033,1177.8407
2024-07-23,478.3494,616.1929,1178.5264
2024-07-24,479.0368,616.061,1179.191
2024-07-25,479.1819,616.3976,1179.3609
2024-07-26,479.2771,616.4351,1179.8152
2024-07-29,479.4141,617.0017,1180.4268
2024-07-30,479.4213,616.6677,1181.3134
2024-07-31,479.3654,616.4127,1182.3944
2024-08-01,478.9428,616.6802,1182.2588
2024-08-02,479.1334,617.2133,1182.1459
2024-08-05,479.1266,617.2407,1183.0731
2024-08-06,479.5255,616.8843,1184.0468
2024-08-07,479.418,616.7825,1185.0017
2024-08-08,478.812,616.5073,1183.6197
2024-08-09,478.7778,617.2796,1183.5055
2024-08-12,479.3129,617.6063,1181.5635
2024-08-13,479.1751,618.0875,1182.0063
2024-08-14,478.869,618.1388,1182.0383
2024-08-15,478.4593,617.8069,1182.0619
2024-08-16,478.0894,618.2292,1181.9654
2024-08-19,477.9533,618.8569,1182.7274
2024-08-20,477.5296,619.0068,1182.5254
2024-08-21,477.9567,618.884,1183.1131
2024-08-22,477.8082,619.2416,1183.4072
2024-08-23,477.779,618.9544,1183.5773
2024-08-26,478.1696,619.161,1183.8052
2024-08-27,478.5752,618.7126,1183.8162
2024-08-28,478.4262,618.1446,1183.099
2024-08-29,478.4459,618.2474,1183.4623
2024-08-30,478.5893,618.2442,1183.8184
2024-09-02,478.4304,618.925,1183.655
2024-09-03,477.7592,618.6394,1184.0111
2024-09-04,477.8613,618.4824,1184.4631
2024-09-05,478.0352,617.8085,1183.6019
2024-09-06,478.0511,616.809,1183.4195
2024-09-09,477.6338,615.8436,1183.0518
2024-09-10,477.4447,615.8611,1182.4024
2024-09-11,477.125,615.1526,1182.485
2024-09-12,476.8941,615.4534,1181.8641
2024-09-13,477.1699,615.8801,1181.4844
2024-09-16,477.5163,615.5514,1181.5085
2024-09-17,477.5836,616.0741,1181.5914
2024-09-18,477.6085,615.9635,1181.6538
2024-09-19,477.6709,616.2443,1182.8599
2024-09-20,477.5095,615.9275,1182.4202
2024-09-23,477.3245,616.1288,1182.4296
2024-09-24,476.9452,615.49,1181.5623
2024-09-25,476.7607,615.5373,1181.7045
2024-09-26,477.3145,615.1059,1182.2472
2024-09-27,477.4207,614.8166,1182.8237
2024-09-30,477.137,614.8603,1182.2879
2024-10-01,476.8096,614.6999,1181.9638
2024-10-02,476.3545,614.4287,1182.5628
2024-10-03,476.294,614.5087,1182.3465
2024-10-04,476.2374,614.6201,1182.7598
2024-10-07,475.5922,613.7673,1182.013
2024-10-08,475.5631,613.7686,1182.6783
2024-10-09,475.1951,613.818,1183.1289
2024-10-10,475.4649,613.2406,1183.2406
2024-10-11,475.3277,613.1629,1182.594
2024-10-14,475.6894,612.3322,1182.3302
2024-10-15,475.3544,612.7171,1182.2526
2024-10-16,475.0737,612.364,1182.2421
2024-10-17,474.9811,612.0809,1182.0107
2024-10-18,475.1307,612.3594,1181.7113
2024-10-21,475.1238,612.0487,1181.6588
2024-10-22,474.5417,612.0648,1182.3287
2024-10-23,474.4135,611.3573,1180.9573
2024-10-24,474.235,610.8609,1179.9685
2024-10-25,473.9131,610.0036,1178.877
2024-10-28,473.5224,609.6688,1178.3016
2024-10-29,473.8998,609.8806,1177.0956
2024-10-30,473.5948,609.7389,1177.2674
2024-10-31,473.1458,609.8897,1177.1665
2024-11-01,473.1735,609.2019,1176.858
2024-11-04,473.0412,608.5793,1176.2951
2024-11-05,472.8453,608.1428,1176.2375
2024-11-06,472.9262,608.1656,1176.1953
2024-11-07,472.9162,608.096,1176.2471
2024-11-08,472.8686,607.8658,1175.6662
2024-11-11,473.0167,607.9193,1175.9153
2024-11-12,472.9502,607.6355,1174.897
2024-11-13,472.599,607.4122,1175.5128
2024-11-14,472.3327,607.776,1173.5365
2024-11-15,472.0194,607.3114,1173.0537
2024-11-18,471.9438,607.189,1172.2095
2024-11-19,471.46,607.6995,1172.5646
2024-11-20,470.739,607.5497,1171.5589
2024-11-21,470.6369,607.6703,1172.5416
2024-11-22,470.0833,607.2174,1171.509
2024-11-25,469.3373,607.8969,1172.6247
2024-11-26,469.3401,606.7304,1172.7968
2024-11-27,469.0007,606.0594,1172.7234
2024-11-28,469.0525,605.4288,1172.8979
2024-11-29,468.7808,605.9797,1174.1316
2024-12-02,468.3251,605.9781,1174.5908
2024-12-03,467.8358,605.7113,1173.1794
2024-12-04,467.585,605.0014,1173.8299
2024-12-05,467.4171,605.0211,1173.9085
2024-12-06,467.0787,604.9364,1172.8834
2024-12-09,466.9195,604.5023,1173.2905
2024-12-10,466.3645,603.7226,1172.5204
2024-12-11,466.3116,603.1198,1172.5916
2024-12-12,465.686,603.1021,1172.6999
2024-12-13,465.5784,603.1334,1172.2853
2024-12-16,465.7621,603.066,1172.6543
